"AST" "CK" "Calving" "Myopathy" "Survival"
"2" 0 0 1 1 1
"5" 1 1 1 0 0
"6" 1 1 0 0 0
"7" 1 1 1 0 0
"10" 0 1 1 1 0
"11" 1 1 1 0 0
"13" 1 1 1 0 1
"16" 1 1 1 0 1
"17" 1 1 1 0 0
"20" 0 1 1 1 0
"23" 0 0 1 1 0
"24" 1 0 1 1 0
"25" 1 1 1 0 0
"26" 0 1 0 1 0
"28" 0 1 0 0 0
"35" 0 0 1 1 0
"37" 1 1 0 0 0
"38" 0 0 1 1 0
"40" 1 1 1 0 1
"41" 0 0 1 1 0
"42" 0 0 0 1 0
"46" 1 1 1 0 1
"49" 1 1 1 0 0
"50" 1 0 0 1 0
"54" 0 0 1 1 0
"58" 0 0 1 1 0
"59" 1 0 0 1 0
"60" 1 1 0 0 1
"61" 0 0 1 1 0
"62" 0 0 1 0 0
"63" 1 1 1 0 0
"66" 1 1 1 0 0
"69" 1 1 0 0 1
"70" 1 1 1 0 0
"73" 1 1 1 0 1
"75" 1 1 1 0 0
"77" 1 1 1 0 1
"82" 1 0 0 1 0
"84" 0 1 1 1 1
"86" 0 1 0 1 0
"88" 0 1 1 0 0
"92" 1 0 1 1 0
"93" 0 0 0 1 0
"95" 0 0 1 1 0
"97" 1 1 0 0 1
"98" 0 0 1 1 0
"100" 0 0 1 1 0
"101" 0 1 1 1 0
"103" 0 1 1 1 0
"105" 1 1 1 0 1
"107" 1 1 1 0 0
"109" 1 1 1 0 0
"110" 1 1 1 0 1
"111" 0 0 1 1 0
"112" 1 1 1 0 1
"113" 1 1 1 0 1
"116" 1 1 1 0 0
"119" 1 1 1 0 1
"121" 1 1 1 0 0
"122" 1 1 1 0 0
"124" 1 1 1 0 0
"125" 1 1 1 0 0
"126" 1 1 1 0 1
"127" 1 1 1 0 0
"128" 1 1 1 0 0
"129" 1 1 1 0 0
"130" 1 1 1 0 0
"134" 0 1 1 1 0
"135" 1 1 1 0 1
"137" 0 1 1 0 0
"141" 0 0 1 0 0
"148" 1 1 0 0 1
"149" 1 1 1 0 0
"152" 0 0 1 1 0
"158" 1 1 1 0 0
"159" 1 1 1 0 0
"161" 0 0 1 1 0
"162" 1 1 1 0 0
"164" 1 1 1 0 0
"165" 0 1 1 0 0
"175" 1 0 1 0 0
"176" 1 1 0 0 0
"179" 0 0 1 1 0
"180" 0 0 1 1 0
"182" 0 0 1 1 0
"185" 1 1 1 0 0
"186" 1 1 1 0 1
"188" 0 0 1 1 0
"191" 0 1 1 0 0
"194" 1 1 1 0 1
"195" 1 1 1 0 0
"197" 1 0 1 0 0
"199" 1 1 1 0 0
"202" 1 1 1 0 0
"203" 1 0 1 1 0
"207" 1 0 1 0 0
"208" 0 1 1 0 0
"209" 0 1 1 0 1
"211" 0 1 1 1 0
"212" 1 1 1 0 1
"217" 0 0 1 1 0
"219" 1 1 1 0 1
"224" 1 1 1 0 1
"226" 0 0 1 1 0
"227" 0 0 1 1 0
"229" 1 1 1 0 1
"231" 0 0 1 1 0
"232" 0 0 1 1 1
"236" 1 1 1 0 1
"237" 1 1 1 0 0
"240" 0 1 1 1 0
"241" 0 0 1 1 0
"242" 1 0 1 1 0
"245" 0 0 1 1 0
"247" 1 1 1 0 0
"248" 1 1 1 0 0
"251" 0 0 1 1 0
"252" 0 0 1 1 0
"253" 1 1 1 0 1
"254" 1 1 1 0 1
"258" 1 1 1 0 1
"259" 1 1 0 0 1
"264" 0 0 1 1 0
"265" 1 1 1 0 0
"268" 1 1 1 0 0
"272" 0 0 1 1 0
"273" 0 1 1 0 1
"275" 0 0 0 1 0
"276" 0 0 1 1 0
"278" 1 0 1 0 0
"279" 0 0 0 1 0
"281" 0 0 0 1 0
"282" 0 0 0 1 1
"288" 0 0 0 1 0
"289" 0 0 0 1 0
"291" 0 0 0 1 0
"292" 1 1 1 0 0
"293" 0 0 1 1 0
"295" 1 1 1 0 1
"296" 0 0 0 1 0
"297" 0 0 1 1 0
"299" 0 0 1 1 0
"303" 0 0 0 1 0
"304" 0 1 0 0 1
"305" 1 1 0 0 1
"308" 0 1 1 1 0
"309" 1 1 1 0 1
"311" 1 0 0 0 0
"313" 1 0 0 0 0
"316" 1 1 1 0 0
"318" 0 1 1 1 0
"319" 1 1 0 0 0
"320" 1 0 1 1 0
"322" 0 0 1 1 0
"323" 1 1 0 0 0
"324" 1 1 0 0 0
"326" 1 1 0 0 1
"327" 1 1 1 0 1
"331" 1 1 1 0 1
"334" 0 0 0 0 0
"337" 1 0 1 0 1
"338" 1 1 1 0 0
"339" 1 1 0 0 0
"342" 0 0 1 1 0
"344" 1 1 1 0 0
"346" 1 1 1 0 1
"348" 1 0 0 0 1
"350" 1 1 1 0 0
"354" 1 1 1 0 0
"355" 1 1 1 0 1
"356" 1 1 0 0 1
"359" 1 1 1 0 0
"360" 1 1 0 0 1
"361" 1 1 1 0 1
"364" 1 1 1 0 0
"367" 0 1 0 0 0
"368" 0 0 0 1 0
